Date,Price,Open,High,Low,Vol.
10-03-2018,"23,340.00","23,342.50","23,342.50","23,311.50",
10-02-2018,"23,325.00","23,332.50","23,335.50","23,322.00",
10-01-2018,"23,330.00","23,324.00","23,345.50","23,323.00",
09-28-2018,"23,325.00","23,335.00","23,345.50","23,322.50",
09-27-2018,"23,345.00","23,346.00","23,348.00","23,342.50",
09-26-2018,"23,348.00","23,350.50","23,350.50","23,341.00",
09-25-2018,"23,345.00","23,342.50","23,346.50","23,342.50",
09-24-2018,"23,337.00","23,337.50","23,341.00","23,334.00",
09-21-2018,"23,332.00","23,327.50","23,341.50","23,327.50",
09-20-2018,"23,320.00","23,305.00","23,330.50","23,296.50",
09-19-2018,"23,305.00","23,296.50","23,314.00","23,282.50",
09-18-2018,"23,280.00","23,302.50","23,317.50","23,278.50",
09-17-2018,"23,289.00","23,247.50","23,291.50","23,247.50",
09-14-2018,"23,247.00","23,260.50","23,277.50","23,238.50",
09-13-2018,"23,276.00","23,276.00","23,280.50","23,272.50",
09-12-2018,"23,280.00","23,282.50","23,287.50","23,281.00",
09-11-2018,"23,283.00","23,287.50","23,312.50","23,273.50",
09-10-2018,"23,302.00","23,310.50","23,312.50","23,295.50",
09-07-2018,"23,302.00","23,311.50","23,313.00","23,302.00",
09-06-2018,"23,314.00","23,312.50","23,317.00","23,307.50",
09-05-2018,"23,313.00","23,316.50","23,332.50","23,285.00",
09-04-2018,"23,312.00","23,302.50","23,317.00","23,296.50",
09-03-2018,"23,303.00","23,303.00","23,303.00","23,303.00",
08-31-2018,"23,303.00","23,304.00","23,306.50","23,293.50",
08-30-2018,"23,302.00","23,302.50","23,307.50","23,296.50",
08-29-2018,"23,300.00","23,295.00","23,312.50","23,292.00",
08-28-2018,"23,295.00","23,285.00","23,297.50","23,270.00",
08-27-2018,"23,293.00","23,305.00","23,305.00","23,287.50",
08-24-2018,"23,300.00","23,305.00","23,307.00","23,282.50",
08-23-2018,"23,281.00","23,279.00","23,283.00","23,270.00",
08-22-2018,"23,274.00","23,277.50","23,283.50","23,263.50",
08-21-2018,"23,268.00","23,267.50","23,275.00","23,259.00",
08-20-2018,"23,272.00","23,274.00","23,320.00","23,250.00",
08-17-2018,"23,293.00","23,315.50","23,315.50","23,286.50",
08-16-2018,"23,312.00","23,315.50","23,317.50","23,311.50",
08-15-2018,"23,310.00","23,313.00","23,317.50","23,311.50",
08-14-2018,"23,314.00","23,317.00","23,320.50","23,311.00",
08-13-2018,"23,310.00","23,315.00","23,315.00","23,312.50",
08-10-2018,"23,275.00","23,278.00","23,281.00","23,271.00",
08-09-2018,"23,275.00","23,280.00","23,286.50","23,277.00",
08-08-2018,"23,282.00","23,301.00","23,302.50","23,281.50",
08-07-2018,"23,302.00","23,310.00","23,312.50","23,302.00",
08-06-2018,"23,306.00","23,310.50","23,312.50","23,307.00",
08-03-2018,"23,304.00","23,280.50","23,307.50","23,280.50",
08-02-2018,"23,280.00","23,274.00","23,285.00","23,272.50",
08-01-2018,"23,290.00","23,291.50","23,293.00","23,282.00",
07-31-2018,"23,280.00","23,285.00","23,285.00","23,277.50",
07-30-2018,"23,255.00","23,259.50","23,262.50","23,250.00",
07-27-2018,"23,230.00","23,217.50","23,232.50","23,217.50",
07-26-2018,"23,175.00","23,180.00","23,185.00","23,175.00",
07-25-2018,"23,215.00","23,251.00","23,251.00","23,215.00",
07-24-2018,"23,248.00","23,250.00","23,255.00","23,249.50",
07-23-2018,"23,220.00","23,205.00","23,225.00","23,205.00",
07-20-2018,"23,053.00","23,056.50","23,057.50","23,049.50",
07-19-2018,"23,050.00","23,050.50","23,053.50","23,049.00",
07-18-2018,"23,049.00","23,050.00","23,052.50","23,048.50",
07-17-2018,"23,050.00","23,049.50","23,052.50","23,046.50",
07-16-2018,"23,050.00","23,050.00","23,052.50","23,047.50",
07-13-2018,"23,050.00","23,048.50","23,051.00","23,045.50",
07-12-2018,"23,047.00","23,044.00","23,048.50","23,041.00",
07-11-2018,"23,043.00","23,044.50","23,045.00","23,038.50",
07-10-2018,"23,039.00","23,040.00","23,043.50","23,039.00",
07-09-2018,"23,038.00","23,040.50","23,043.00","23,039.00",
07-06-2018,"23,035.00","23,042.50","23,043.50","23,036.50",
07-05-2018,"23,040.00","23,038.50","23,045.50","23,034.00",
07-04-2018,"23,038.00","23,042.00","23,045.00","23,032.50",
07-03-2018,"23,045.00","23,042.50","23,046.00","23,042.50",
07-02-2018,"22,952.00","22,965.00","22,965.00","22,954.50",
06-29-2018,"22,956.00","22,967.50","22,967.50","22,957.50",
06-28-2018,"22,935.00","22,939.50","22,948.50","22,937.50",
06-27-2018,"22,935.00","22,938.50","22,939.50","22,937.50",
06-26-2018,"22,920.00","22,897.50","22,924.00","22,897.50",
06-25-2018,"22,895.00","22,892.50","22,898.00","22,887.50",
06-22-2018,"22,891.00","22,896.50","22,896.50","22,892.50",
06-21-2018,"22,876.00","22,872.50","22,883.00","22,872.50",
06-20-2018,"22,866.00","22,866.50","22,867.50","22,857.00",
06-19-2018,"22,852.00","22,837.00","22,853.50","22,837.00",
