gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
1586.50000,1.41500,1.56900,1.40900,1.59100,2020-01-19
1584.90002,1.31900,1.55400,1.31500,1.50500,2020-01-20
1584.90002,1.31900,1.55400,1.31500,1.50500,2020-01-21
1584.90002,1.31900,1.55400,1.31500,1.50500,2020-01-22
1579.50000,1.35700,1.57900,1.34900,1.52600,2020-01-23
1552.69995,1.41500,1.57400,1.42200,1.60300,2020-01-24
1560.09998,1.44300,1.56200,1.46300,1.64900,2020-01-25
1567.19995,1.44900,1.57400,1.46300,1.64400,2020-01-26
1570.59998,1.40100,1.56400,1.40400,1.58200,2020-01-27
1570.59998,1.40100,1.56400,1.40400,1.58200,2020-01-28
1570.59998,1.40100,1.56400,1.40400,1.58200,2020-01-29
1576.59998,1.38500,1.56600,1.38000,1.56300,2020-01-30
1567.19995,1.42600,1.57900,1.42200,1.60200,2020-01-31
1568.80005,1.44600,1.57700,1.45400,1.63700,2020-02-01
1576.30005,1.44600,1.58700,1.44200,1.61900,2020-02-02
1583.80005,1.43000,1.57700,1.41800,1.58800,2020-02-03
1583.80005,1.43000,1.57700,1.41800,1.58800,2020-02-04
1583.80005,1.43000,1.57700,1.41800,1.58800,2020-02-05
1603.59998,1.42600,1.57700,1.40900,1.57800,2020-02-06
1601.00000,1.41400,1.57700,1.39600,1.55900,2020-02-07
1608.80005,1.42600,1.57900,1.40900,1.56800,2020-02-08
1617.40002,1.39100,1.57900,1.36300,1.51900,2020-02-09
1645.09998,1.35400,1.55900,1.32200,1.47300,2020-02-10
1645.09998,1.35400,1.55900,1.32200,1.47300,2020-02-11
1645.09998,1.35400,1.55900,1.32200,1.47300,2020-02-12
1673.50000,1.25000,1.54800,1.20600,1.37000,2020-02-13
1647.00012,1.22900,1.53100,1.18500,1.35500,2020-02-14
1640.39990,1.16500,1.51800,1.15700,1.33500,2020-02-15
1642.50000,1.07100,1.45400,1.08000,1.27400,2020-02-16
1566.69995,0.93100,1.28500,0.95200,1.16300,2020-02-17
1566.69995,0.93100,1.28500,0.95200,1.16300,2020-02-18
1566.69995,0.93100,1.28500,0.95200,1.16300,2020-02-19
1594.80005,0.89500,1.16900,0.93100,1.15200,2020-02-20
1644.39990,0.70100,0.95300,0.74300,0.99900,2020-02-21
1643.00012,0.69100,0.70600,0.78600,1.05500,2020-02-22
1668.00000,0.60100,0.62500,0.68300,0.91700,2020-02-23
1672.39990,0.51000,0.47500,0.61300,0.77300,2020-02-24
1672.39990,0.51000,0.47500,0.61300,0.77300,2020-02-25
1672.39990,0.51000,0.47500,0.61300,0.77300,2020-02-26
1675.69995,0.40800,0.38300,0.50100,0.55900,2020-02-27
1660.29993,0.54600,0.42600,0.67000,0.80000,2020-02-28
1642.30005,0.52100,0.43400,0.70200,0.87700,2020-02-29
1590.30005,0.47100,0.32700,0.61300,0.81200,2020-03-01
1516.69995,0.50800,0.27600,0.73100,0.98300,2020-03-02
1516.69995,0.50800,0.27600,0.73100,0.98300,2020-03-03
1516.69995,0.50800,0.27600,0.73100,0.98300,2020-03-04
1486.50000,0.37400,0.22300,0.50600,0.74000,2020-03-05
1525.80005,0.49800,0.20800,0.73700,1.06900,2020-03-06
1477.90002,0.54000,0.02000,0.79400,1.18300,2020-03-07
1479.30005,0.45900,0.06300,0.71000,1.15800,2020-03-08
1484.59998,0.32500,0.03800,0.48100,0.88500,2020-03-09
1484.59998,0.32500,0.03800,0.48100,0.88500,2020-03-10
1484.59998,0.32500,0.03800,0.48100,0.88500,2020-03-11
1567.59998,0.32000,0.03000,0.40600,0.76300,2020-03-12
1660.80005,0.38200,0.02800,0.53000,0.85800,2020-03-13
1633.40002,0.34000,-0.04600,0.52200,0.86900,2020-03-14
1651.20007,0.29900,-0.03500,0.52700,0.84800,2020-03-15
1625.00000,0.24800,0.01500,0.40000,0.67600,2020-03-16
1625.00000,0.24800,0.01500,0.40000,0.67600,2020-03-17
1625.00000,0.24800,0.01500,0.40000,0.67600,2020-03-18
1637.09998,0.23000,0.05300,0.41600,0.72600,2020-03-19
1589.30005,0.25300,0.13200,0.37400,0.66800,2020-03-20
1584.09998,0.24300,0.07400,0.37200,0.60200,2020-03-21
1630.69995,0.22800,0.09600,0.38400,0.61100,2020-03-22
