"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/1993","94.660","95.250","95.350","94.550","1.52K","-0.54%"
"02/08/1993","95.170","95.250","95.260","94.810","1.75K","0.03%"
"02/05/1993","95.140","95.550","95.600","94.570","2.51K","0.04%"
"02/04/1993","95.100","94.980","95.960","94.840","1.33K","-0.18%"
"02/03/1993","95.270","94.750","95.530","94.330","","0.46%"
"02/02/1993","94.830","94.600","95.000","93.960","3.79K","0.22%"
"02/01/1993","94.620","93.550","94.690","93.520","1.81K","1.34%"
"01/29/1993","93.370","92.310","93.400","91.970","1.88K","1.39%"
"01/28/1993","92.090","92.000","92.320","91.530","0.86K","0.02%"
"01/27/1993","92.070","91.360","92.150","91.360","2.05K","0.73%"
"01/26/1993","91.400","91.400","91.700","90.780","2.60K","0.18%"
"01/25/1993","91.240","92.340","92.340","91.090","2.75K","-1.16%"
"01/22/1993","92.310","93.260","93.380","92.200","1.96K","-1.10%"
"01/21/1993","93.340","92.770","93.600","92.650","1.96K","0.73%"
"01/20/1993","92.660","93.090","93.100","92.600","2.41K","-0.34%"
"01/19/1993","92.980","93.020","93.380","92.930","5.83K","-0.06%"
"01/18/1993","93.040","94.030","94.110","92.840","3.14K","-1.22%"
"01/15/1993","94.190","93.830","94.370","93.460","3.68K","0.50%"
"01/14/1993","93.720","93.340","93.900","93.270","2.59K","0.10%"
"01/13/1993","93.630","94.080","94.340","93.550","1.14K","-0.30%"
"01/12/1993","93.910","93.830","94.100","93.480","0.84K","0.21%"
"01/11/1993","93.710","94.130","94.250","93.380","1.73K","-0.83%"
"01/08/1993","94.490","94.250","94.850","94.080","2.53K","0.16%"
"01/07/1993","94.340","94.350","94.480","94.030","0.96K","0.14%"
"01/06/1993","94.210","93.950","94.510","93.620","2.07K","0.36%"
"01/05/1993","93.870","94.650","94.880","93.760","6.12K","-1.07%"
"01/04/1993","94.890","94.150","94.970","94.080","3.45K","1.09%"
"12/31/1992","93.870","93.570","93.970","93.480","0.29K","0.20%"
"12/30/1992","93.680","93.650","94.010","93.350","0.53K","-0.23%"
"12/29/1992","93.900","93.720","94.100","93.530","1.33K","-0.27%"
"12/28/1992","94.150","92.890","94.200","92.820","2.08K","1.42%"
"12/24/1992","92.830","92.550","92.890","92.520","1.21K","0.11%"
"12/23/1992","92.730","92.300","92.740","92.200","1.21K","0.30%"
"12/22/1992","92.450","91.300","92.490","91.300","3.44K","1.32%"
"12/21/1992","91.250","91.130","91.420","91.040","0.90K","-0.01%"
"12/18/1992","91.260","90.860","91.570","90.950","1.87K","0.42%"
"12/17/1992","90.880","90.720","91.130","90.370","1.06K","1.85%"
"12/16/1992","89.230","89.840","89.690","89.220","0.03K","-0.67%"
"12/15/1992","89.830","89.910","89.920","89.650","0.32K","0.06%"
"12/14/1992","89.780","89.800","89.900","89.700","0.11K","-0.40%"
"12/11/1992","90.140","90.150","90.350","90.080","0.22K","-0.23%"
"12/10/1992","90.350","89.900","90.450","89.700","1.08K","0.50%"
"12/09/1992","89.900","89.350","90.080","89.200","1.08K","1.01%"
"12/08/1992","89.000","89.010","89.420","88.630","2.86K","-0.06%"
"12/07/1992","89.050","90.820","90.940","88.850","1.95K","-1.93%"
"12/04/1992","90.800","90.350","90.930","90.010","3.13K","0.35%"
"12/03/1992","90.480","90.400","90.700","90.150","1.83K","0.17%"
"12/02/1992","90.330","90.280","90.720","90.100","2.36K","0.11%"
"12/01/1992","90.230","91.100","91.500","90.000","2.48K","-0.98%"
"11/30/1992","91.120","91.500","91.690","91.110","2.26K","-0.44%"
"11/27/1992","91.520","91.400","91.830","91.400","1.02K","0.68%"
"11/25/1992","90.900","91.050","91.220","90.710","","-0.34%"
