Date,Price,Open,High,Low,Vol.
07-11-2011,76.374,75.56,76.555,75.54,36.06K
07-08-2011,75.514,75.215,75.73,75.13,32.10K
07-07-2011,75.257,75.265,75.745,75.15,21.50K
07-06-2011,75.44,74.925,75.535,74.77,19.82K
07-05-2011,74.985,74.535,75.05,74.535,17.34K
07-04-2011,74.57,74.515,74.69,74.405,3.42K
07-01-2011,74.674,74.82,75.055,74.505,17.68K
06-30-2011,74.635,74.915,74.915,74.54,32.86K
06-29-2011,75.074,75.48,75.54,74.995,35.85K
06-28-2011,75.49,75.665,75.96,75.26,26.63K
06-27-2011,75.828,76.19,76.59,75.71,35.33K
06-24-2011,76.21,75.705,76.28,75.475,38.76K
06-23-2011,75.904,75.35,76.25,75.35,35.97K
06-22-2011,75.188,75.095,75.31,74.865,26.54K
06-21-2011,74.931,75.26,75.455,74.92,27.04K
06-20-2011,75.5,75.615,75.95,75.365,24.67K
06-17-2011,75.461,75.92,76.25,75.355,34.01K
06-16-2011,76.224,75.975,76.505,75.855,35.47K
06-15-2011,76.072,74.82,76.135,74.82,41.17K
06-14-2011,74.692,74.875,75.005,74.59,19.03K
06-13-2011,74.596,74.805,74.95,74.6,1.28K
06-10-2011,74.798,74.13,74.935,74.045,24.07K
06-09-2011,74.201,73.875,74.32,73.695,43.99K
06-08-2011,73.939,73.585,73.995,73.56,40.93K
06-07-2011,73.528,73.955,74.065,73.515,32.44K
06-06-2011,73.999,73.77,74.085,73.665,33.32K
06-03-2011,73.807,74.365,74.505,73.725,35.29K
06-02-2011,74.375,74.865,74.955,74.26,29.81K
06-01-2011,74.731,74.525,74.955,74.345,33.48K
05-31-2011,74.696,74.83,74.84,74.495,25.85K
05-30-2011,75.03,74.94,75.1,74.885,2.86K
05-27-2011,75.018,75.62,75.67,74.895,26.98K
05-26-2011,75.632,76.095,76.095,75.415,32.08K
05-25-2011,76.03,76.115,76.395,75.835,31.72K
05-24-2011,76.023,76.445,76.45,75.96,27.18K
05-23-2011,76.234,75.845,76.54,75.825,38.74K
05-20-2011,75.579,75.195,75.92,75.085,41.78K
05-19-2011,75.277,75.485,75.71,75.185,41.23K
05-18-2011,75.632,75.415,75.735,75.23,31.77K
05-17-2011,75.545,75.82,76.015,75.475,40.04K
05-16-2011,75.651,76.08,76.19,75.41,36.28K
05-13-2011,75.938,75.415,76.14,74.945,45.83K
05-12-2011,75.417,75.495,75.835,75.205,39.12K
05-11-2011,75.517,74.735,75.62,74.53,55.12K
05-10-2011,74.782,74.775,75.175,74.685,32.11K
05-09-2011,74.9,75.025,75.36,74.605,52.06K
05-06-2011,75.08,74.26,75.18,74.11,66.99K
05-05-2011,74.375,73.28,74.42,72.985,61.58K
05-04-2011,73.213,73.26,73.48,72.86,36.61K
05-03-2011,73.315,73.31,73.49,73.01,26.06K
05-02-2011,73.139,73.185,73.48,72.895,23.53K
04-29-2011,73.107,73.255,73.38,73.015,18.64K
04-28-2011,73.311,73.5,73.5,73.05,26.20K
04-27-2011,73.691,73.73,74.205,73.435,31.59K
04-26-2011,74.025,74.28,74.52,73.935,17.30K
04-25-2011,74.181,74.3,74.47,74.01,15.44K
04-22-2011,74.28,74.28,74.28,74.28,
04-21-2011,74.18,74.195,74.535,73.935,23.83K
04-20-2011,74.567,75.19,75.21,74.455,28.20K
04-19-2011,75.249,75.685,75.845,75.205,22.66K
04-18-2011,75.73,75.085,76.055,75.055,39.09K
04-15-2011,75.028,74.88,75.22,74.825,19.08K
04-14-2011,74.888,75.16,75.37,74.835,24.25K
04-13-2011,75.19,75.065,75.34,74.95,22.24K
04-12-2011,75.065,75.255,75.455,74.93,27.18K
04-11-2011,75.282,75.165,75.305,75.1,16.98K
04-08-2011,75.273,75.795,75.835,75.06,20.98K
04-07-2011,75.81,75.78,76.055,75.735,22.29K
04-06-2011,75.757,76.095,76.125,75.69,22.03K
04-05-2011,76.111,76.25,76.4,75.995,23.70K
04-04-2011,76.159,76.23,76.235,75.935,13.61K
04-01-2011,76.083,76.3,76.87,76.035,32.62K
03-31-2011,76.072,76.37,76.415,75.885,23.11K
03-30-2011,76.357,76.38,76.67,76.245,22.29K
03-29-2011,76.502,76.49,76.7,76.17,20.77K
03-28-2011,76.376,76.52,76.695,76.295,17.36K
03-25-2011,76.485,75.94,76.56,75.84,28.30K
03-24-2011,75.888,76.11,76.305,75.7,32.28K
03-23-2011,76.046,75.83,76.19,75.67,25.03K
03-22-2011,75.673,75.83,75.85,75.82,21.64K
03-21-2011,75.655,75.87,76.005,75.59,20.85K
03-18-2011,75.971,76.29,76.765,75.79,25.16K
03-17-2011,76.34,76.91,76.98,76.15,29.59K
03-16-2011,76.986,76.74,77.135,76.635,38.32K
03-15-2011,76.656,76.655,77.39,76.585,29.75K
03-14-2011,76.462,76.55,76.725,76.27,1.63K
