Date,Price,Open,High,Low
05-25-1999,4.628,4.628,4.628,4.628
05-24-1999,4.608,4.608,4.608,4.608
05-21-1999,4.584,4.584,4.584,4.584
05-20-1999,4.596,4.596,4.596,4.596
05-19-1999,4.607,4.607,4.607,4.607
05-18-1999,4.654,4.654,4.654,4.654
05-17-1999,4.686,4.686,4.686,4.686
05-14-1999,4.625,4.625,4.625,4.625
05-13-1999,4.586,4.586,4.586,4.586
05-12-1999,4.586,4.586,4.586,4.586
05-11-1999,4.597,4.597,4.597,4.597
05-10-1999,4.587,4.587,4.587,4.587
05-07-1999,4.511,4.511,4.511,4.511
05-06-1999,4.513,4.513,4.513,4.513
05-05-1999,4.513,4.513,4.513,4.513
05-04-1999,4.514,4.514,4.514,4.514
05-03-1999,4.514,4.514,4.514,4.514
04-30-1999,4.532,4.532,4.532,4.532
04-29-1999,4.492,4.492,4.492,4.492
04-28-1999,4.386,4.386,4.386,4.386
04-27-1999,4.389,4.389,4.389,4.389
04-26-1999,4.361,4.361,4.361,4.361
04-23-1999,4.423,4.423,4.423,4.423
04-22-1999,4.357,4.357,4.357,4.357
04-21-1999,4.347,4.347,4.347,4.347
04-20-1999,4.368,4.368,4.368,4.368
04-19-1999,4.34,4.34,4.34,4.34
04-16-1999,4.324,4.324,4.324,4.324
04-15-1999,4.305,4.305,4.305,4.305
04-14-1999,4.285,4.285,4.285,4.285
04-13-1999,4.28,4.28,4.28,4.28
04-12-1999,4.306,4.306,4.306,4.306
04-09-1999,4.363,4.363,4.363,4.363
