russell2000,dow_jones,msci_world,nasdaq100,s_p500,gold
1518.49,26703.318,2212.4,8877.98,994.8,1594.8
1486.08,25917.41,2179.5,8594.49,994.8,1644.3999
1531.2001,27090.86,2243.1,8949.28,994.8,1643.0001
1478.82,26121.28,2192.4,8671.66,994.8,1668.0
1449.22,25864.78,2149.3,8530.34,994.8,1672.3999
1449.22,25864.78,2149.3,8530.34,994.8,1672.3999
1449.22,25864.78,2149.3,8530.34,994.8,1672.3999
1313.44,23851.018,1995.2,7948.03,994.8,1675.7
1350.9,25018.16,2052.0,8372.27,994.8,1660.2999
1264.3,23553.22,1972.0,8006.12,994.8,1642.3
1122.93,21200.62,1776.5001,7263.65,994.8,1590.3
1210.13,23185.62,1881.6001,7995.26,994.8,1516.7
1210.13,23185.62,1881.6001,7995.26,994.8,1516.7
1210.13,23185.62,1881.6001,7995.26,994.8,1516.7
1037.42,20188.52,1702.8,7020.38,994.8,1486.5
1106.51,21237.38,1772.9,7473.95,994.8,1525.8
991.16,19898.92,1682.3,7175.18,994.8,1477.9
1058.75,20087.19,1694.4999,7288.5195,994.8,1479.3
1013.89,19173.98,1650.9,6994.29,994.8,1484.6
1013.89,19173.98,1650.9,6994.29,994.8,1484.6
1013.89,19173.98,1650.9,6994.29,994.8,1484.6
1002.4,18591.93,1602.1,7006.92,994.8,1567.6
1096.54,20704.91,1742.5999,7553.8296,994.8,1660.8
1110.37,21200.55,1786.0,7469.6196,994.8,1633.4
1180.32,22552.17,1875.5999,7897.13,994.8,1651.2001
1131.99,21636.78,1827.1998,7588.37,994.8,1625.0
1131.99,21636.78,1827.1998,7588.37,994.8,1625.0
1131.99,21636.78,1827.1998,7588.37,994.8,1625.0
1158.32,22327.48,1870.4999,7889.0093,994.8,1637.1
1153.1,21917.16,1852.7,7813.5,994.8,1589.3
1071.99,20943.51,1781.3,7486.29,994.8,1584.1
1085.81,21413.44,1803.1,7635.66,994.8,1630.7
1052.05,21052.53,1776.9,7528.1104,994.8,1637.6
1052.05,21052.53,1776.9,7528.1104,994.8,1637.6
1052.05,21052.53,1776.9,7528.1104,994.8,1637.6
1138.78,22679.99,1881.5,8081.66,994.8,1684.0
1139.17,22653.86,1895.0,8049.31,994.8,1672.5999
1191.66,23433.57,1940.1,8229.54,994.8,1674.0999
1246.73,23719.37,1970.7,8238.53,994.8,1739.9
1246.73,23719.37,1970.7,8238.53,994.8,1739.9
1246.73,23719.37,1970.7,8238.53,994.8,1739.9
1246.73,23719.37,1970.7,8238.53,994.8,1739.9
1212.04,23390.77,1956.7999,8332.74,994.8,1749.7999
1237.33,23949.76,2006.7999,8692.16,994.8,1759.1001
1183.98,23504.35,1960.1998,8591.96,994.8,1729.6
1178.09,23537.68,1964.3,8757.83,994.8,1722.7
1229.1,24242.49,2017.5,8832.41,994.8,1690.8002
1229.1,24242.49,2017.5,8832.41,994.8,1690.8002
1229.1,24242.49,2017.5,8832.41,994.8,1690.8002
1213.35,23650.44,1994.0,8726.51,994.8,1703.4
1185.09,23018.879,1932.3,8403.0,994.8,1678.3
1201.52,23475.82,1968.3,8664.64,994.8,1727.4
1214.06,23515.26,1974.4001,8641.5,994.8,1733.4
1233.05,23775.27,1987.7,8786.6,994.8,1724.2
1233.05,23775.27,1987.7,8786.6,994.8,1724.2
1233.05,23775.27,1987.7,8786.6,994.8,1724.2
1281.88,24133.78,2022.5001,8837.66,994.8,1712.5999
1298.08,24101.549,2023.4,8677.6,994.8,1710.6
1360.76,24633.86,2070.8,8982.76,994.8,1713.4
1310.66,24345.72,2052.9,9000.51,994.8,1694.1998
1260.48,23723.69,2004.8,8718.18,994.8,1700.9
1260.48,23723.69,2004.8,8718.18,994.8,1700.9
1260.48,23723.69,2004.8,8718.18,994.8,1700.9
1263.97,23749.76,1997.8,8834.11,994.8,1713.3
1273.51,23883.09,2018.0999,8930.62,994.8,1710.6
1263.01,23664.64,2007.6001,8984.86,994.8,1688.4999
1282.93,23875.89,2026.1,9101.88,994.8,1725.7999
1329.64,24331.32,2061.9,9220.35,994.8,1713.8999
1329.64,24331.32,2061.9,9220.35,994.8,1713.8999
1329.64,24331.32,2061.9,9220.35,994.8,1713.8999
1321.24,24221.99,2060.7,9298.92,994.8,1697.9999
1275.54,23764.78,2034.1001,9112.45,994.8,1706.8002
1233.25,23247.97,1998.5,9000.08,994.8,1716.3999
1237.55,23625.34,1999.9,9094.42,994.8,1740.9
1256.99,23685.42,2008.3999,9152.64,994.8,1756.2999
1256.99,23685.42,2008.3999,9152.64,994.8,1756.2999
1256.99,23685.42,2008.3999,9152.64,994.8,1756.2999
1333.69,24597.37,2069.0,9331.93,994.8,1734.4
1307.72,24206.86,2061.4,9298.54,994.8,1745.6
1346.93,24575.9,2092.0,9485.02,994.8,1752.1
1347.56,24474.12,2074.1,9377.99,994.8,1721.8999
1355.53,24465.16,2071.9,9413.99,994.8,1735.5
1355.53,24465.16,2071.9,9413.99,994.8,1735.5
1355.53,24465.16,2071.9,9413.99,994.8,1735.5
1355.53,24465.16,2071.9,9413.99,994.8,1705.6
1393.07,24995.11,2114.3,9389.98,994.8,1705.6
1436.36,25548.27,2136.9,9442.05,994.8,1710.7
1400.67,25400.64,2148.3,9416.71,994.8,1719.8
1394.04,25383.11,2147.9,9555.53,994.8,1742.9001
1394.04,25383.11,2147.9,9555.53,994.8,1742.9001
1394.04,25383.11,2147.9,9555.53,994.8,1742.9001
1405.37,25475.02,2163.9,9598.89,994.8,1743.3
1418.21,25742.65,2187.1,9657.31,994.8,1728.9
1452.09,26269.89,2222.5,9704.69,994.8,1701.0
1452.06,26281.818,2218.5,9629.66,994.8,1721.7999
1507.1501,27110.98,2266.8,9824.39,994.8,1678.5
1507.1501,27110.98,2266.8,9824.39,994.8,1678.5
1507.1501,27110.98,2266.8,9824.39,994.8,1678.5
1536.8899,27572.44,2288.0,9901.52,994.8,1699.9
1507.0499,27272.299,2275.3,9967.17,994.8,1717.0
1467.39,26989.99,2267.4,10094.26,994.8,1715.5
1356.22,25128.17,2154.4,9588.48,994.8,1734.7
1387.68,25605.54,2164.5,9663.78,994.8,1732.0
1387.68,25605.54,2164.5,9663.78,994.8,1732.0
1387.68,25605.54,2164.5,9663.78,994.8,1732.0
1419.61,25763.16,2171.4,9776.89,994.8,1721.7999
